deciles,min_prob,max_prob,#1s,#0s,total,perc_AN,perc_AA,cum_perc_AN,cum_perc_AA,KS_Score
9,1.0,1.0,8372,1,8373,20.46,0.0,20.46,0.0,20.46
8,0.99,1.0,6665,28,6693,16.29,0.06,36.75,0.06,36.69
7,0.96,0.99,9435,182,9617,23.06,0.39,59.81,0.45,59.36
6,0.83,0.96,9454,480,9934,23.1,1.02,82.91,1.47,81.44
5,0.27,0.83,5525,3928,9453,13.5,8.31,96.41,9.780000000000001,86.63
4,0.04,0.26,820,6596,7416,2.0,13.96,98.41,23.740000000000002,74.66999999999999
3,0.01,0.04,381,9456,9837,0.93,20.01,99.34,43.75,55.59
2,0.01,0.01,250,8958,9208,0.61,18.95,99.95,62.7,37.25
1,0.0,0.01,19,8525,8544,0.05,18.04,100.0,80.74000000000001,19.25999999999999
0,0.0,0.0,0,9106,9106,0.0,19.27,100.0,100.01,-0.010000000000005116
